2021-10-09 14:44:29.023 [http-nio-8080-exec-40] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:44:29.349 [http-nio-8080-exec-42] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:44:30.107 [http-nio-8080-exec-44] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:44:31.351 [http-nio-8080-exec-46] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:44:31.831 [http-nio-8080-exec-48] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:44:32.457 [http-nio-8080-exec-50] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:44:32.924 [http-nio-8080-exec-52] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:44:33.542 [http-nio-8080-exec-54] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:47:46.208 [http-nio-8080-exec-56] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:47:52.834 [http-nio-8080-exec-58] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 14:48:12.876 [http-nio-8080-exec-60] INFO  c.e.x.r.controller.ControllerExceptionHandler - methodArgumentNotValid: msg = 商品名称不能为空;
2021-10-09 14:48:13.860 [http-nio-8080-exec-62] INFO  c.e.x.r.controller.ControllerExceptionHandler - methodArgumentNotValid: msg = 商品名称不能为空;
2021-10-09 14:48:14.723 [http-nio-8080-exec-64] INFO  c.e.x.r.controller.ControllerExceptionHandler - methodArgumentNotValid: msg = 商品名称不能为空;
2021-10-09 15:15:13.616 [http-nio-8080-exec-65] INFO  c.e.x.r.controller.ControllerExceptionHandler - methodArgumentNotValid: msg = 商品名称不能为空;
2021-10-09 21:08:20.896 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - Starting DemoApplication using Java 1.8.0_291 on LAPTOP-PM8994E9 with PID 18320 (D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo\target\classes started by 风格福德宫 in D:\1书籍\java\Javaee\实验\JavaEEPlatform-master\2.SpringMvc\RestFulDemo)
2021-10-09 21:08:20.901 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - No active profile set, falling back to default profiles: default
2021-10-09 21:08:26.387 [main] INFO  cn.edu.xmu.restfuldemo.DemoApplication - Started DemoApplication in 6.165 seconds (JVM running for 8.688)
2021-10-09 21:11:07.919 [http-nio-8080-exec-23] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-25] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-12] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-34] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-73] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-96] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-79] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-85] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-9] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.919 [http-nio-8080-exec-58] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-84] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.923 [http-nio-8080-exec-62] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.922 [http-nio-8080-exec-93] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.924 [http-nio-8080-exec-24] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-32] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-53] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-31] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-44] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-11] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.925 [http-nio-8080-exec-52] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.923 [http-nio-8080-exec-100] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-95] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.921 [http-nio-8080-exec-21] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.920 [http-nio-8080-exec-19] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
2021-10-09 21:11:07.926 [http-nio-8080-exec-49] INFO  c.e.x.r.controller.CodeValidGoodsController - 商品名称不能为空
